ID,Tipo,Nombre_producto_API,Version_producto,Nombre_de_servicio/API,Nombre_Tecnico_API,Componente_menor,EVC,Nombre_equipo,Servicio_proveedor,Consumidores,QMANAGER,Namespace
196,Servicio,No Aplica,No Aplica,Consulta Llavero Cliente,No Aplica,MDM,"DATOS, ANALÍTICA, IA, BLOCKCHAIN",MDM,,"AW0748001 _x000D_
AW1240001 _x000D_
AW1281002 _x000D_
NU0032001 _x000D_
NU0021001 _x000D_
AW1074001 _x000D_
SVP _x000D_
NU0038001 _x000D_
NU0014001 _x000D_
AW1165 _x000D_
AW1281003 _x000D_
AW1011 _x000D_
NU0035001 _x000D_
AW1218001 _x000D_
AW0661003",,
197,Servicio,No Aplica,No Aplica,Consulta Llavero Comercial,No Aplica,MDM,"DATOS, ANALÍTICA, IA, BLOCKCHAIN",MDM,,AW1074001,,
198,Servicio,No Aplica,No Aplica,Consulta Llaves Cliente,No Aplica,MDM,"DATOS, ANALÍTICA, IA, BLOCKCHAIN",MDM,,"AW0842001 _x000D_
AW1074001 _x000D_
AW1185001 _x000D_
AW0360010",,
199,Servicio,No Aplica,No Aplica,Consulta Lme Finacle Filiales,No Aplica,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,,AW1176,,
200,Servicio,No Aplica,No Aplica,Consulta Lme Finacle Trade,No Aplica,Comercio Exterior,Financiación y consumo,,,"AW1176 _x000D_
DEVELOPSOATEST",,
201,Servicio,No Aplica,No Aplica,Consulta Lme Leasing,No Aplica,Leasing,Leasing,Administración del ciclo de vida del activo,,"AW1176 _x000D_
AW0922",,
202,Servicio,No Aplica,No Aplica,Consulta Lotes De Pago,No Aplica,Pagos y Recaudos,Gestión de flujos,Recaudos o Pagos,,"PRODUCTORCONSUMIDOR _x000D_
NU0153001",,
203,Servicio,No Aplica,No Aplica,Consulta Marcaciones Personas,No Aplica,Captaciones,Depósitos y cuentas especiales,Depósitos,,AW1227001,,
204,Servicio,No Aplica,No Aplica,Consulta Metadata Documental,No Aplica,Facilitadores Digitales,Evolución Digital,Evolución Digital,,"AW1176 _x000D_
AW0638 _x000D_
AW1272001 _x000D_
NU0001 _x000D_
AW1133 _x000D_
AW0659 _x000D_
AW1203001 _x000D_
NU0142001 _x000D_
AW1218001",,
205,Servicio,No Aplica,No Aplica,Consulta Mmf Factoring,No Aplica,Factoring,Gestión de flujos,Factoring,,AW1176,,
206,Servicio,No Aplica,No Aplica,Consulta Modificacion Endeudamiento,No Aplica,Riesgos,Ciclo de Crédito,Ecosistema de Riesgo de Crédito,,"AW01010 _x000D_
AW0748001 _x000D_
SUF _x000D_
PRODUCTORCONSUMIDOR _x000D_
BVL _x000D_
AW1010001",,
207,Servicio,No Aplica,No Aplica,Consulta Motivos Transaccion,No Aplica,Comercio Exterior,Financiación y consumo,,,"DEVELOPSOATEST _x000D_
PRODUCTORCONSUMIDOR",,
208,Servicio,No Aplica,No Aplica,Consulta Movimiento Cuenta Ahorro Deposito,No Aplica,Captaciones,Depósitos y cuentas especiales,Depósitos,,AW1170,,
209,Servicio,No Aplica,No Aplica,Consulta Movimiento Cuenta Ahorro Deposito,No Aplica,Captaciones,Depósitos y cuentas especiales,Depósitos,,AW1170,,
210,Servicio,No Aplica,No Aplica,Consulta Movimiento Cuenta Corriente Deposito,No Aplica,Captaciones,Depósitos y cuentas especiales,Depósitos,,AW1170,,
211,Servicio,No Aplica,No Aplica,Consulta Movimiento Cuenta Corriente Deposito,No Aplica,Captaciones,Depósitos y cuentas especiales,Depósitos,,AW1170,,
212,Servicio,No Aplica,No Aplica,Consulta Movimiento Depositos,No Aplica,Captaciones,Depósitos y cuentas especiales,Depósitos,,"AW1272001 _x000D_
NU0010001 _x000D_
AW1218001",,
213,Servicio,No Aplica,No Aplica,Consulta Movimientos Bolsillos,No Aplica,Captaciones,Depósitos y cuentas especiales,Depósitos,,"PRODUCTORCONSUMIDOR _x000D_
NU0021001 _x000D_
NU0146001 _x000D_
NU0149001",,
214,Servicio,No Aplica,No Aplica,Consulta Movimientos Tarjeta Credito,No Aplica,Servicios Transaccionales MP,Medios de pago Aceptacion,Servicios Transaccionales MP,,"APIC _x000D_
AW1170",,
215,Servicio,No Aplica,No Aplica,Consulta Numeral Cambiario,No Aplica,Comercio Exterior,Financiación y consumo,,,"DEVELOPSOATEST _x000D_
NU0163001 _x000D_
PRODUCTORCONSUMIDOR",,
216,Servicio,No Aplica,No Aplica,Consulta Obligaciones Sufi,No Aplica,Sufi,SUFI,Sufi,,"AW1209001 _x000D_
ISSU20003 _x000D_
AW1097001 _x000D_
NU0093001",,
217,Servicio,No Aplica,No Aplica,Consulta Obligaciones Sufi,No Aplica,Sufi,SUFI,Sufi,,No Tiene,,
218,Servicio,No Aplica,No Aplica,Consulta Obligaciones Sufi,No Aplica,Sufi,SUFI,Sufi,,"AW1097001 _x000D_
NU0021001 _x000D_
NU0093001 _x000D_
ISSU20003 _x000D_
NU0204001",,
219,Servicio,No Aplica,No Aplica,Consulta Operacion Leasing,No Aplica,Leasing,Leasing,Administración del ciclo de vida del activo,,AW0360006,,
220,Servicio,No Aplica,No Aplica,Consulta Operacion Leasing Financiero,No Aplica,Leasing,Leasing,Administración del ciclo de vida del activo,,AW0360006,,
221,Servicio,No Aplica,No Aplica,Consulta Pago En Efectivo,No Aplica,Pagos y Recaudos,Gestión de flujos,Pagos,,"PRODUCTORCONSUMIDOR _x000D_
AW1151001 _x000D_
NU0021001",,
222,Servicio,No Aplica,No Aplica,Consulta Pago Obligaciones Sufi,No Aplica,Sufi,SUFI,Sufi,,ISSU20003,,
223,Servicio,No Aplica,No Aplica,Consulta Pago Operacion Leasing,No Aplica,Leasing,Leasing,Administración del ciclo de vida del activo,,AW0360006,,
224,Servicio,No Aplica,No Aplica,Consulta Pago Programado,No Aplica,Pagos y Recaudos,Gestión de flujos,Pagos,,PRODUCTORCONSUMIDOR,,
225,Servicio,No Aplica,No Aplica,Consulta Pagos,No Aplica,Pagos y Recaudos,Gestión de flujos,Pagos,,"AW1170 _x000D_
AW1258011",,
226,Servicio,No Aplica,No Aplica,Consulta Pagos Operacion Leasing Financiero,No Aplica,Leasing,Leasing,Administración del ciclo de vida del activo,,AW0360006,,
227,Servicio,No Aplica,No Aplica,Consulta Partner Listas De Control,No Aplica,Transversales no iSeries,Otras Funciones de Apoyo,Los Federales,,"NU0063001 _x000D_
DEVELOPSOATEST",,
228,Servicio,No Aplica,No Aplica,Consulta Plan Pago Operacion Leasing,No Aplica,Leasing,Leasing,Administración del ciclo de vida del activo,,AW0360006,,
229,Servicio,No Aplica,No Aplica,Consulta Prestamos,No Aplica,Crédito,Financiación y consumo,,,"PRODUCTORCONSUMIDOR _x000D_
AW1313001 _x000D_
AW1294001",,
230,Servicio,No Aplica,No Aplica,Consulta Producto Depositos,No Aplica,Pagos y Recaudos,Depósitos y cuentas especiales,Depósitos,,"AW1177 _x000D_
AW0937 _x000D_
ELIBOM _x000D_
AW1285001 _x000D_
AW0856 _x000D_
AW0638 _x000D_
BSN _x000D_
AW1287 _x000D_
AW1128 _x000D_
AW1011",,
231,Servicio,No Aplica,No Aplica,Consulta Producto Tarjetas,No Aplica,Emisor,Medios de pago Emision,Digital Medios de Pago,,"AW01065 _x000D_
AW1176 _x000D_
BSN _x000D_
AW1170",,
232,Servicio,No Aplica,No Aplica,Consulta Productos Cliente Personas,No Aplica,Gestion Cliente y Comercial,Conocimiento de clientes,No Aplica,,"AW1294001 _x000D_
SVP _x000D_
AW1218001",,
233,Servicio,No Aplica,No Aplica,Consulta Productos Consolidados,No Aplica,Legacy y MFT,Servicios e Integració​​​​​​​​​​​​​​n,No Aplica,,AW1170,,
234,Servicio,No Aplica,No Aplica,Consulta Productos Del Cliente,No Aplica,Factoring,Gestión de flujos,Factoring,,"AW0922 _x000D_
AW0611001 _x000D_
TP _x000D_
Allus _x000D_
AW1294001 _x000D_
NU0084001",,
235,Servicio,No Aplica,No Aplica,Consulta Productos InvestBot,No Aplica,Valores,Inversiones,No Aplica,,AW1187001,,
236,Servicio,No Aplica,No Aplica,Consulta Productos Pagos Cliente,No Aplica,Pagos y Recaudos,Gestión de flujos,Pagos,,BSN,,
237,Servicio,No Aplica,No Aplica,Consulta Riesgo Por Cartera,No Aplica,Riesgos,Ciclo de Crédito,Ecosistema de Riesgo de Crédito,,"AW1285001 _x000D_
AW0856",,
238,Servicio,No Aplica,No Aplica,Consulta Saldos Consolidados,No Aplica,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,,AW0718001,,
239,Servicio,No Aplica,No Aplica,Consulta Saldos Consolidados Filiales,No Aplica,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,,AW0360010,,
240,Servicio,No Aplica,No Aplica,Consulta Saldos Creditos,No Aplica,MDM,"DATOS, ANALÍTICA, IA, BLOCKCHAIN",MDM,,AW0360010,,
241,Servicio,No Aplica,No Aplica,Consulta Saldos Cuentas Depositos,No Aplica,Filiales del Exterior,Depósitos y cuentas especiales,Depósitos,,"AW1170 _x000D_
AW1165",,
242,Servicio,No Aplica,No Aplica,Consulta Saldos Cuentas Depositos,No Aplica,Captaciones,Depósitos y cuentas especiales,Depósitos,,"NU0017001 _x000D_
AW0856 _x000D_
AW1294001 _x000D_
AW1316001 _x000D_
AW1169 _x000D_
AW1170 _x000D_
NU0014001 _x000D_
AW1165 _x000D_
AW1302001 _x000D_
AW1011 _x000D_
SVE _x000D_
AW1316",,
243,Servicio,No Aplica,No Aplica,Consulta Saldos Cuentas Depositos,No Aplica,Captaciones,Depósitos y cuentas especiales,Depósitos,,"AW1177 _x000D_
AW0638 _x000D_
BSN _x000D_
AW1269001 _x000D_
AW1272001 _x000D_
AW1170",,
244,Servicio,No Aplica,No Aplica,Consulta Saldos Cuentas Depositos,No Aplica,Filiales del Exterior,Depósitos y cuentas especiales,Depósitos,,"AW1185001 _x000D_
AW0360010",,
245,Servicio,No Aplica,No Aplica,Consulta Saldos Plazos Fijos,No Aplica,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,,"AW1185001 _x000D_
AW0360010",,
246,Servicio,No Aplica,No Aplica,Consulta Saldos Productos Consolidados,No Aplica,Gestion Cliente y Comercial,Por Definir,Por Definir,,AW0360010,,
247,Servicio,No Aplica,No Aplica,Consulta Tarjetas Credito,No Aplica,Emisor,Medios de pago Emision,Digital Medios de Pago,,"AW1285001 _x000D_
AW1294001 _x000D_
AW1316001 _x000D_
AW1272001 _x000D_
AW1165 _x000D_
NU0019001 _x000D_
NU0064001 _x000D_
AW1250 _x000D_
NU0103001 _x000D_
AW1316 _x000D_
AW1218001",,
248,Servicio,No Aplica,No Aplica,Consulta Tarjetas Credito,No Aplica,Emisor,Medios de pago Emision,Digital Medios de Pago,,"NU0021001 _x000D_
NU0100001 _x000D_
NU0101001 _x000D_
AW1405001 _x000D_
PRODUCTORCONSUMIDOR _x000D_
DEVELOPSOATEST _x000D_
AW1316001 _x000D_
AW0955001 _x000D_
AW1184 _x000D_
AW1151001 _x000D_
NU0146001 _x000D_
NU0153001 _x000D_
NU0149001 _x000D_
AW1184003",,
249,Servicio,No Aplica,No Aplica,Consulta Tarjetas Debito,No Aplica,Debito y Prepago,Medios de pago Emision,Tarjetas Débito,,"NU0021001 _x000D_
NU0019001 _x000D_
NU0103001",,
250,Servicio,No Aplica,No Aplica,Consulta Tarjetas Debito,No Aplica,Debito y Prepago,Medios de pago Emision,Tarjetas Débito,,"NU0021001 _x000D_
NU0100001 _x000D_
NU0101001 _x000D_
PRODUCTORCONSUMIDOR _x000D_
NU0091001 _x000D_
DEVELOPSOATEST _x000D_
NU0104001 _x000D_
AW1184 _x000D_
AW1184003",,
251,Servicio,No Aplica,No Aplica,Consulta Tarjetas Del Cliente,No Aplica,Emisor,Medios de pago Emision,Digital Medios de Pago,,"AW1189001 _x000D_
AW1170",,
252,Servicio,No Aplica,No Aplica,Consulta Tarjetas PYME,No Aplica,Emisor,Medios de pago Emision,Digital Medios de Pago,,"APIC _x000D_
AW1176 _x000D_
AW1285001 _x000D_
AW1294001 _x000D_
NU0114001 _x000D_
AW1287",,
253,Servicio,No Aplica,No Aplica,Consulta Tasa,No Aplica,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,,"AW1185001 _x000D_
AW0360010",,
254,Servicio,No Aplica,No Aplica,Consulta Tasa Credito,No Aplica,Crédito,Financiación y consumo,,,"NU0102001 _x000D_
AW1285001 _x000D_
AW0856 _x000D_
AW1313",,
255,Servicio,No Aplica,No Aplica,Consulta Tasa Credito,No Aplica,Crédito,Financiación y consumo,,,"AW0937 _x000D_
AW0856",,
256,Servicio,No Aplica,No Aplica,Consulta Tasa De Cambio,No Aplica,Filiales del Exterior,Tesoreria,No Aplica,,"SVP _x000D_
AW1011 _x000D_
AW0360",,
257,Servicio,No Aplica,No Aplica,Consulta TCRM,No Aplica,Riesgos,Por Definir,Por Definir,,"AW0937 _x000D_
AW1176 _x000D_
AW1081001",,
258,Servicio,No Aplica,No Aplica,Consulta Transacciones Prestamo,No Aplica,Crédito,Financiación y consumo,,,"PRODUCTORCONSUMIDOR _x000D_
DEVELOPSOATEST",,
259,Servicio,No Aplica,No Aplica,Consulta Variables Precalculadas Riesgos,No Aplica,Riesgos,Ciclo de Crédito,Ecosistema de Riesgo de Crédito,,"AW1097001 _x000D_
AW1081001",,
260,Servicio,No Aplica,No Aplica,Consultar Centrales De Riesgo,No Aplica,Riesgos,Ciclo de Crédito,Ecosistema de Riesgo de Crédito,,"AW0922 _x000D_
AW0856",,
261,Servicio,No Aplica,No Aplica,Consultar Cheques,No Aplica,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,,AW0718001,,
262,Servicio,No Aplica,No Aplica,Consultar Cheques Consignados,No Aplica,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,,AW0718001,,
263,Servicio,No Aplica,No Aplica,Consultar Clientes Precalculados,No Aplica,MDM,"DATOS, ANALÍTICA, IA, BLOCKCHAIN",MDM,,"AW1097001 _x000D_
AW1081001 _x000D_
AW0939",,
264,Servicio,No Aplica,No Aplica,Consultar Cobro Comision,No Aplica,Captaciones,Depósitos y cuentas especiales,Captaciones,,AW0718001,,
265,Servicio,No Aplica,No Aplica,Consultar Condiciones Pago Leasing,No Aplica,Leasing,Leasing,Administración del ciclo de vida del activo,,AW0360006,,
266,Servicio,No Aplica,No Aplica,Consultar Credito Hipotecario,No Aplica,Hipotecario,Inmobiliario,Hipotecario,,"SAI _x000D_
SVE _x000D_
SCI _x000D_
SVP _x000D_
NU0004001 _x000D_
AUD",,
267,Servicio,No Aplica,No Aplica,Consultar Credito Hipotecario,No Aplica,Hipotecario,Inmobiliario,Hipotecario,,"AW0360004 _x000D_
SVE _x000D_
NU0004001 _x000D_
DEVELOPSOATEST",,
268,Servicio,No Aplica,No Aplica,Consultar Detalle Chequera,No Aplica,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,,AW0718001,,
269,Servicio,No Aplica,No Aplica,Consultar Detalle Producto,No Aplica,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,,AW0718001,,
270,Servicio,No Aplica,No Aplica,Consultar Discrepancias,No Aplica,Por Definir,Por Definir,Por Definir,,"AW0611001 _x000D_
AW0360",,
271,Servicio,No Aplica,No Aplica,Consultar Estado Cliente Listas Control,No Aplica,Transversales no iSeries,Otras Funciones de Apoyo,Los Federales,,"AW1177 _x000D_
ELIBOM _x000D_
AW0922 _x000D_
AW0856 _x000D_
AW1097001 _x000D_
AW0998 _x000D_
BSN _x000D_
AW1170 _x000D_
SYC _x000D_
AW0683001 _x000D_
AW1128 _x000D_
AW1011 _x000D_
AW0540001 _x000D_
BancasegurosNube _x000D_
AW0682001",,
272,Servicio,No Aplica,No Aplica,Consultar Estado Proveedores Listas Control,No Aplica,Transversales no iSeries,Otras Funciones de Apoyo,Los Federales,,AW0682001,,
273,Servicio,No Aplica,No Aplica,Consultar Fuentes Publicas Externas,No Aplica,Facilitadores Digitales,Evolución Digital,Evolución Digital,,"AW0922 _x000D_
AW0856 _x000D_
AW1097001 _x000D_
AW1170 _x000D_
AW1302001 _x000D_
AW1081001 _x000D_
NU0142001 _x000D_
AW0660001",,
274,Servicio,No Aplica,No Aplica,Consultar Giros Realizados,No Aplica,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,,AW0718001,,
275,Servicio,No Aplica,No Aplica,Consultar Giros Recibidos,No Aplica,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,,AW0718001,,
276,Servicio,No Aplica,No Aplica,Consultar Informacion Producto,No Aplica,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,,AW0718001,,
277,Servicio,No Aplica,No Aplica,Consultar Informacion Sesion,No Aplica,Leasing,Leasing,Administración del ciclo de vida del activo,,AW0360006,,
278,Servicio,No Aplica,No Aplica,Consultar Listas Control Especiales,No Aplica,Transversales no iSeries,Otras Funciones de Apoyo,Los Federales,,"AW0922 _x000D_
SYC",,
279,Servicio,No Aplica,No Aplica,Consultar Movimientos Producto,No Aplica,Crédito,Financiación y consumo,Filiales del Exterior,,"AW0453 _x000D_
AW0718001",,
280,Servicio,No Aplica,No Aplica,Consultar Movimientos Producto,No Aplica,Crédito,Financiación y consumo,Filiales del Exterior,,AW0453,,
281,Servicio,No Aplica,No Aplica,Consultar MT,No Aplica,Tesoreria,Financiación y consumo,Filiales del Exterior,,AW0718001,,
282,Servicio,No Aplica,No Aplica,Consultar OTP,No Aplica,,Por Definir,Por Definir,,"AW0638 _x000D_
AW0636",,
283,Servicio,No Aplica,No Aplica,Consultar Saldos Congelados,No Aplica,Riesgos,Financiación y consumo,Filiales del Exterior,,AW0718001,,
284,API ONPREMISE,Consumer Loan,100,Consumer Loan - Independent Loan,consumer-loan-independent-loan,,,,,"RespuestaAlFrente_AW1086001 _x000D_
 MonitoreoDCM_NU0084001",,
285,API ONPREMISE,Consumer Loan Behavioral Models,111,Consumer Loan Behavioral Models - Consumption Loan Study,consumer-loan-behavioral-models-consumption-loan-study,Riesgos,Ciclo de Crédito,Ecosistema de Riesgo de Crédito,EstudioCreditoConsumo/V1.0,"EcosistemaRiesgos_AW1011 _x000D_
 NequiAF_AW1011",,
286,API ONPREMISE,Consumer Loan Behavioral Models,200,Consumer Loan Behavioral Models - Consumption Loan Study,consumer-loan-behavioral-models-consumption-loan-study,Riesgos,Ciclo de Crédito,Ecosistema de Riesgo de Crédito,EstudioCreditoConsumo/V1.0,"RespuestaAlFrente_AW1086001 _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 PreaprobadosSucursales_AW1299001",,
287,API ONPREMISE,Consumer Loans,120,Consumer Loans - Interest Rate,consumer-loans-interest-rate,Crédito,Financiación y Consumo,Experiencia de Cartera,ConsultaTasaCredito/V2.0,"Aprobaciones_AW036007 _x000D_
 NU0107001_LoansApproval_MR _x000D_
 APP_AW0360007 _x000D_
 aprobaciones_AW0360007 _x000D_
 LoansOffer_NU0102001 _x000D_
 MsUtilities_NU0102001 _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 APP_AW1285001 _x000D_
 APP_NU0102001 _x000D_
 ProductosDeFinanciación_NU0102001 _x000D_
 BNPL_NU0287001",,
288,API ONPREMISE,Consumer Loans,120,Consumer Loans - Loan Applications,consumer-loans-loan-applications,Crédito,Financiación y Consumo,Experiencia de Cartera,,"Aprobaciones_AW036007 _x000D_
 NU0107001_LoansApproval_MR _x000D_
 APP_AW0360007 _x000D_
 aprobaciones_AW0360007 _x000D_
 LoansOffer_NU0102001 _x000D_
 MsUtilities_NU0102001 _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 APP_AW1285001 _x000D_
 APP_NU0102001 _x000D_
 ProductosDeFinanciación_NU0102001 _x000D_
 BNPL_NU0287001",,
289,API ONPREMISE,Consumer Loans,120,Consumer Loans - Offers,consumer-loans-offers,Crédito,Financiación y Consumo,Experiencia de Cartera,,"Aprobaciones_AW036007 _x000D_
 NU0107001_LoansApproval_MR _x000D_
 APP_AW0360007 _x000D_
 aprobaciones_AW0360007 _x000D_
 LoansOffer_NU0102001 _x000D_
 MsUtilities_NU0102001 _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 APP_AW1285001 _x000D_
 APP_NU0102001 _x000D_
 ProductosDeFinanciación_NU0102001 _x000D_
 BNPL_NU0287001",,
290,API ONPREMISE,Consumer Loans,120,Consumer Loans - Utilities,consumer-loans-utilities,Crédito,Financiación y Consumo,Experiencia de Cartera,,"Aprobaciones_AW036007 _x000D_
 NU0107001_LoansApproval_MR _x000D_
 APP_AW0360007 _x000D_
 aprobaciones_AW0360007 _x000D_
 LoansOffer_NU0102001 _x000D_
 MsUtilities_NU0102001 _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 APP_AW1285001 _x000D_
 APP_NU0102001 _x000D_
 ProductosDeFinanciación_NU0102001 _x000D_
 BNPL_NU0287001",,
291,API ONPREMISE,Consumption Loans,200,Consumption Loans - Disbursements,consumption-loans-disbursements,Crédito,Financiación y Consumo,Experiencia de Cartera,DesembolsoCreditoConsumo/V3.0,"LoansOffer_NU0102001 _x000D_
 MsUtilities_NU0102001",,
292,API ONPREMISE,Consumption Loans,200,Consumption Loans - Installments,consumption-loans-installments,Crédito,Financiación y Consumo,Experiencia de Cartera,ConsultaCuotaCredito/V1.0,"LoansOffer_NU0102001 _x000D_
 MsUtilities_NU0102001",,
293,API ONPREMISE,Consumption Loans,200,Consumption Loans - Installments,consumption-loans-installments,Crédito,Financiación y Consumo,Experiencia de Cartera,ConsultaCuotaCredito/V1.0,"LoansOffer_NU0102001 _x000D_
 MsUtilities_NU0102001",,
294,Servicio,No Aplica,No Aplica,Contra Ordenar Cheques,No Aplica,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,,AW0718001,,
295,Servicio,No Aplica,No Aplica,Contribucion Documental,No Aplica,Facilitadores Digitales,Evolución Digital,Evolución Digital,,"NU0102001 _x000D_
NU0127001 _x000D_
NU0004001 _x000D_
NU0034001 _x000D_
AW1170 _x000D_
AW1176",,
296,API ONPREMISE,Contribution Models,100,Contribution Models - Analytic Model,contribution-models-analytic-model,MDM,"DATOS, ANALÍTICA, IA, BLOCKCHAIN",MDM,,No tiene,,
297,API ONPREMISE,Management Checklists,100,Control Lists Management,control-lists-management,Transversales no iSeries,Otras Funciones de Apoyo,Los Federales,GestionListasDeControl/V2.0,"VINCUTRANS_NU0034001 _x000D_
 Plink_AW1206001 _x000D_
 MonitoreoDCM_NU0084001",,
298,Servicio,No Aplica,No Aplica,Convertir Monto,No Aplica,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,,AW0718001,,
299,API ONPREMISE,Corporate Loan,101,Corporate Loan - Credit Limits,corporate-loan-credit-limits,Crédito,Financiación y Consumo,Experiencia de Cartera,,"MonitoreoDCM_NU0084001 _x000D_
 NETWORKING_NU0046001 _x000D_
 SVECarteraComercial_NU0162001",,
300,Servicio,No Aplica,No Aplica,Correlacionar Transacciones_BB6,No Aplica,Facilitadores Digitales,Evolución Digital,Evolución Digital,,"AW0922 _x000D_
AW0856",,
301,API IBM Cloud ,Correspondent Bank,103,Correspondent Bank - Banks and Branches,correspondent-bank-banks-and-branches,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,ConsultaBanco/V1.0,"TMP1 johucorr_AW1185001 _x000D_
 TMP2 johucorr_AW1185001 _x000D_
 BC_Herramientas_Monitoreo _x000D_
 App inversionesGB_AW1185001",,
302,API ONPREMISE,Counter Party Administration,100,Counter Party Administration - Master Routing Code,counter-party-administration-master-routing-code,Filiales del Exterior,Financiación y Consumo,No Aplica,,"AppInversiones_AW1185001 _x000D_
 MonitoreoDCM_NU0084001",,
303,Servicio,No Aplica,No Aplica,Creacion Caso Consulta LE,No Aplica,Automatización de Procesos ,Evolución Digital,Evolución Digital,,"AW1170 _x000D_
AW1287 _x000D_
DEVELOPSOATEST",,
304,Servicio,No Aplica,No Aplica,Creacion Casos BPM Documental,No Aplica,Facilitadores Digitales,Evolución Digital,Evolución Digital,,No Tiene,,
305,Servicio,No Aplica,No Aplica,Creacion Tarjetas Credito,No Aplica,Emisor,Medios de pago Emision,Digital Medios de Pago,,AW1285001,,
306,Servicio,No Aplica,No Aplica,Crear Cuenta Pasivo,No Aplica,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,,"AW0718001 _x000D_
AW0611001 _x000D_
AW0683001 _x000D_
AW0563001",,
307,Servicio,No Aplica,No Aplica,Crear Novedad Producto Trade,No Aplica,Captaciones,Financiación y consumo,Captaciones,,AW0360,,
308,Servicio,No Aplica,No Aplica,Crear Producto Trade,No Aplica,Captaciones,Financiación y consumo,Captaciones,,AW0360,,
309,Servicio,No Aplica,No Aplica,Crear Usuario,No Aplica,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,,AW0718001,,
310,API ONPREMISE,Credit Card,218,Credit Card - Administration,credit-card-administration,Emisor,Medios de pago Emision,Tarjetas Crédito,,"Autenticacion-para-VCAS_NU0101001 _x000D_
 ProductorConsumidorMP_PRODUCTORCONSUMIDOR _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 Desbloqueo-Clave-Dinamica-TDC_NU0100001 _x000D_
 JornadaPagos_AW1316001 _x000D_
 PagoTDCWompi_AW1405001 _x000D_
 MascaraTransaccional_NU0021001 _x000D_
 ALM_AW0955001",,
311,API ONPREMISE,Credit Card,110,Credit Card - Credit Cards,credit-card-credit-cards,Emisor,Medios de pago Emision,Tarjetas Crédito,ConsultaTarjetasCredito/V1.0,"ProductorConsumidorMP_PRODUCTORCONSUMIDOR _x000D_
 SEG_NU0064001 _x000D_
 JornadaPagos_AW1316001",,
312,API ONPREMISE,Credit Card,218,Credit Card - Credit Cards,credit-card-credit-cards,Emisor,Medios de pago Emision,Tarjetas Crédito,ConsultaTarjetasCredito/V1.0,"Autenticacion-para-VCAS_NU0101001 _x000D_
 ProductorConsumidorMP_PRODUCTORCONSUMIDOR _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 Desbloqueo-Clave-Dinamica-TDC_NU0100001 _x000D_
 JornadaPagos_AW1316001 _x000D_
 PagoTDCWompi_AW1405001 _x000D_
 MascaraTransaccional_NU0021001 _x000D_
 ALM_AW0955001",,
313,API ONPREMISE,Credit Card,110,Credit Card - Information,credit-card-information,Emisor,Medios de pago Emision,Tarjetas Crédito,ConsultaTarjetasCredito/V2.0,"ProductorConsumidorMP_PRODUCTORCONSUMIDOR _x000D_
 SEG_NU0064001 _x000D_
 JornadaPagos_AW1316001",,
314,API ONPREMISE,Credit Card,218,Credit Card - Information,credit-card-information,Emisor,Medios de pago Emision,Tarjetas Crédito,ConsultaTarjetasCredito/V2.0,"Autenticacion-para-VCAS_NU0101001 _x000D_
 ProductorConsumidorMP_PRODUCTORCONSUMIDOR _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 Desbloqueo-Clave-Dinamica-TDC_NU0100001 _x000D_
 JornadaPagos_AW1316001 _x000D_
 PagoTDCWompi_AW1405001 _x000D_
 MascaraTransaccional_NU0021001 _x000D_
 ALM_AW0955001",,
315,API ONPREMISE,Credit Card,218,Credit Card - Management,credit-card-management,Emisor,Medios de pago Emision,Tarjetas Crédito,GestionTarjetasCredito/V2.0,"Autenticacion-para-VCAS_NU0101001 _x000D_
 ProductorConsumidorMP_PRODUCTORCONSUMIDOR _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 Desbloqueo-Clave-Dinamica-TDC_NU0100001 _x000D_
 JornadaPagos_AW1316001 _x000D_
 PagoTDCWompi_AW1405001 _x000D_
 MascaraTransaccional_NU0021001 _x000D_
 ALM_AW0955001",,
