ID,Tipo,Nombre_producto_API,Version_producto,Nombre_de_servicio/API,Nombre_Tecnico_API,Componente_menor,EVC,Nombre_equipo,Servicio_proveedor,Consumidores,QMANAGER,Namespace
579,Servicio,No Aplica,No Aplica,Gestion Tarjeta Credito,No Aplica,Debito y Prepago,Medios de pago Emision,Tarjeta Crédito,,AW1150,,
580,Servicio,No Aplica,No Aplica,Gestion Tarjetas Credito,No Aplica,Emisor,Medios de pago Emision,Digital Medios de Pago,,"PRODUCTORCONSUMIDOR _x000D_
AW1316001 _x000D_
NU0103001 _x000D_
NU0100001",,
581,Servicio,No Aplica,No Aplica,Gestion Tarjetas Credito,No Aplica,Emisor,Medios de pago Emision,Digital Medios de Pago,,AW1285001,,
582,Servicio,No Aplica,No Aplica,Gestion Tarjetas Debito,No Aplica,Emisor,Medios de pago Emision,Digital Medios de Pago,,"NU0100001 _x000D_
PRODUCTORCONSUMIDOR _x000D_
NU0104001",,
583,Servicio,No Aplica,No Aplica,Gestion Tarjetas Debito,No Aplica,Debito y Prepago,Medios de pago Emision,Tarjetas Débito,,"AW1177 _x000D_
NU0021001 _x000D_
AW1128",,
584,Servicio,No Aplica,No Aplica,Gestion Tasa Pactada,No Aplica,Comercio Exterior,Financiación y consumo,,,"DEVELOPSOATEST _x000D_
PRODUCTORCONSUMIDOR",,
585,Servicio,No Aplica,No Aplica,Gestion Transferencias Internacionales,No Aplica,Comercio Exterior,Financiación y consumo,,,No Tiene,,
586,Servicio,No Aplica,No Aplica,Gestion Transferencias Internacionales,No Aplica,Comercio Exterior,Financiación y consumo,,,"CDE _x000D_
DEVELOPSOATEST",,
587,Servicio,No Aplica,No Aplica,Gestion Usuario Credito Consumo,No Aplica,Sufi,SUFI,Sufi,,"AW1081001 _x000D_
TP",,
588,Servicio,No Aplica,No Aplica,Gestion Usuario DATerceros,No Aplica,Sufi,SUFI,Sufi,,TP,,
589,Servicio,No Aplica,No Aplica,Gestion Usuario Valores,No Aplica,Valores,Inversiones,No Aplica,,No Tiene,,
590,Servicio,No Aplica,No Aplica,Gestion Usuarios Divisas,No Aplica,Comercio Exterior,Financiación y consumo,,,AW1011,,
591,Servicio,No Aplica,No Aplica,Gestionar CDT,No Aplica,Captaciones,Depósitos y cuentas especiales,Depósitos,,"SU2 _x000D_
AW0210001 _x000D_
SU5 _x000D_
SVE",,
592,Servicio,No Aplica,No Aplica,Gestionar Documentos,No Aplica,Facilitadores Digitales,Evolución Digital,Evolución Digital,,"AW0499 _x000D_
AW0856 _x000D_
AW0611001",,
593,Servicio,No Aplica,No Aplica,Gestionar Giros,No Aplica,SOA y APIs,Servicios e Integració​​​​​​​​​​​​​​n,No Aplica,,No Tiene,,
594,Servicio,No Aplica,No Aplica,Gestionar Llaves,No Aplica,MDM,"DATOS, ANALÍTICA, IA, BLOCKCHAIN",MDM,,"AW0611001 _x000D_
AW0709001",,
595,Servicio,No Aplica,No Aplica,Gestionar Metadata_BB5,No Aplica,Facilitadores Digitales,Evolución Digital,Evolución Digital,,"AW0718001 _x000D_
AW0550 _x000D_
Carvajal",,
596,Servicio,No Aplica,No Aplica,Gestionar Pagare Electronico,No Aplica,Facilitadores Digitales,Evolución Digital,Evolución Digital,,"AW0937 _x000D_
AW0856 _x000D_
AW1097001 _x000D_
AW1156 _x000D_
AW1197 _x000D_
AW0939 _x000D_
DEVELOPSOATEST _x000D_
AW1203001 _x000D_
NU0004001 _x000D_
AW1285001 _x000D_
AW1176 _x000D_
AW1374007 _x000D_
PRODUCTORCONSUMIDOR",,
597,Servicio,No Aplica,No Aplica,Gestionar Prospecto,No Aplica,Gestion Cliente y Comercial,Conocimiento de clientes,No Aplica,,"AW1177 _x000D_
AW0922 _x000D_
AW1128",,
598,Servicio,No Aplica,No Aplica,Gestionar Prospecto,No Aplica,Gestion Cliente y Comercial,Conocimiento de clientes,No Aplica,,"AW1177 _x000D_
AW0748001 _x000D_
AW0856 _x000D_
SVP _x000D_
AW1128 _x000D_
NU0034001 _x000D_
AW1011 _x000D_
AW1316 _x000D_
AW1218001 _x000D_
NU0146001 _x000D_
NU0149001 _x000D_
AW1227001 _x000D_
AW0623001",,
599,Servicio,No Aplica,No Aplica,Gestionar Prospecto,No Aplica,Gestion Cliente y Comercial,Conocimiento de clientes,No Aplica,,AW0922,,
600,Servicio,No Aplica,No Aplica,Gestionar Solicitud,No Aplica,,Por Definir,Por Definir,,AW0922,,
601,Servicio,No Aplica,No Aplica,Gestionar Solicitudes De Credito,No Aplica,Automatización de Procesos ,Evolución Digital,Evolución Digital,,"AW0937 _x000D_
AW0718 _x000D_
AW1128",,
602,Servicio,No Aplica,No Aplica,Gestionar Tarjeta En Sistema De Transporte,No Aplica,Debito y Prepago,Medios de pago Emision,Tarjetas Débito,,MAT,,
603,Servicio,No Aplica,No Aplica,Grabar Discrepancia,No Aplica,Tesoreria,Tesoreria,No Aplica,,AW0360,,
604,Servicio,No Aplica,No Aplica,Grabar Movimiento En Cuenta,No Aplica,Tesoreria,Tesoreria,No Aplica,,MX,,
